Date,Open,High,Low,Close,Volume,Adj Close
2007-11-28,5461.92,5578.08,5406.99,5561.21,180089000,5561.21
2007-11-27,5421.71,5467.43,5383.67,5434.17,161738000,5434.17
2007-11-26,5558.06,5568.01,5450.37,5458.39,128387400,5458.39
2007-11-23,5406.46,5529.80,5406.46,5521.17,144272600,5521.17
2007-11-22,5402.79,5433.46,5364.25,5416.10,138869100,5416.10
2007-11-21,5428.22,5442.55,5358.76,5381.30,201349000,5381.30
2007-11-20,5460.35,5516.66,5412.93,5506.68,193344500,5506.68
2007-11-19,5519.97,5564.65,5428.96,5432.57,177463800,5432.57
2007-11-16,5519.05,5551.82,5497.09,5523.63,166546800,5523.63
2007-11-15,5598.13,5610.98,5526.27,5561.13,153113300,5561.13
2007-11-14,5625.56,5638.82,5591.04,5613.60,166900700,5613.60
2007-11-13,5508.51,5554.12,5486.29,5538.91,142500900,5538.91
2007-11-12,5488.98,5540.34,5483.71,5535.56,150002200,5535.56
2007-11-09,5641.23,5661.41,5493.60,5524.18,202344000,5524.18
2007-11-08,5602.34,5675.03,5589.50,5631.63,194051800,5631.63
2007-11-07,5737.63,5759.53,5646.12,5683.22,176244800,5683.22
2007-11-06,5702.39,5728.70,5683.98,5709.42,132163400,5709.42
2007-11-05,5676.76,5697.71,5660.14,5684.62,125527600,5684.62
2007-11-02,5684.91,5726.12,5668.67,5720.42,157015700,5720.42
2007-11-01,5851.76,5855.35,5704.81,5730.92,154078400,5730.92
2007-10-31,5804.44,5847.95,5793.84,5847.95,139520000,5847.95
2007-10-30,5821.20,5822.99,5795.18,5803.93,122441800,5803.93
2007-10-29,5845.85,5850.81,5822.44,5836.19,119083700,5836.19
2007-10-26,5776.26,5805.03,5744.93,5794.87,147499000,5794.87
2007-10-25,5722.09,5767.11,5710.05,5760.30,184943300,5760.30
2007-10-24,5711.74,5733.87,5654.10,5674.67,142251500,5674.67
2007-10-23,5694.33,5728.85,5686.22,5705.05,121140900,5705.05
2007-10-22,5635.70,5669.16,5630.80,5661.27,139502300,5661.27
2007-10-19,5751.54,5780.50,5728.36,5740.48,128502700,5740.48
2007-10-18,5830.48,5838.97,5740.81,5767.24,138029400,5767.24
2007-10-17,5776.27,5843.76,5759.98,5818.80,147967700,5818.80
2007-10-16,5779.83,5789.67,5739.86,5774.36,172181400,5774.36
2007-10-15,5842.88,5867.95,5795.67,5807.44,122481700,5807.44
2007-10-12,5816.67,5843.95,5779.04,5843.95,157555900,5843.95
2007-10-11,5835.78,5882.07,5835.78,5862.83,155520900,5862.83
2007-10-10,5863.88,5874.96,5808.48,5838.49,127046100,5838.49
2007-10-09,5819.83,5863.95,5805.67,5861.93,117387900,5861.93
2007-10-08,5852.32,5852.32,5824.07,5829.40,84122800,5829.40
2007-10-05,5810.81,5854.81,5793.68,5843.24,126537800,5843.24
2007-10-04,5783.30,5825.94,5776.18,5804.39,136975500,5804.39
2007-10-03,5798.24,5809.50,5779.45,5806.18,130892500,5806.18
2007-10-02,5811.26,5823.50,5793.19,5799.27,166284800,5799.27
2007-10-01,5670.79,5780.79,5660.76,5773.26,137687000,5773.26
2007-09-28,5728.95,5734.12,5679.03,5715.69,172277900,5715.69
2007-09-27,5740.80,5752.89,5717.49,5733.37,153318300,5733.37
2007-09-26,5659.45,5715.31,5659.45,5690.77,131948500,5690.77
2007-09-25,5663.18,5673.96,5608.69,5641.59,149869900,5641.59
2007-09-24,5686.47,5711.80,5673.07,5692.49,132204600,5692.49
2007-09-21,5668.02,5724.99,5665.44,5700.65,237954700,5700.65
2007-09-20,5686.08,5710.84,5670.52,5688.76,134824100,5688.76
2007-09-19,5683.27,5744.74,5653.51,5730.82,237181300,5730.82
2007-09-18,5418.95,5557.34,5417.01,5549.35,169412100,5549.35
2007-09-17,5523.88,5523.88,5431.46,5439.37,161116400,5439.37
2007-09-14,5540.36,5554.95,5487.27,5538.92,155751100,5538.92
2007-09-13,5489.42,5574.62,5472.20,5565.97,248209100,5565.97
2007-09-12,5480.98,5519.44,5462.56,5508.01,130093300,5508.01
2007-09-11,5442.10,5491.80,5424.06,5478.94,131628900,5478.94
2007-09-10,5432.08,5459.34,5378.04,5386.43,143979200,5386.43
2007-09-07,5567.61,5595.63,5417.26,5430.10,174523100,5430.10
2007-09-06,5585.54,5596.43,5503.12,5576.62,133227900,5576.62
2007-09-05,5655.28,5666.89,5548.69,5551.55,156219500,5551.55
2007-09-04,5636.15,5679.95,5602.89,5672.72,121855800,5672.72
2007-09-03,5683.10,5683.10,5639.55,5651.27,95201400,5651.27
2007-08-31,5634.07,5686.47,5618.85,5662.70,160503400,5662.70
2007-08-30,5584.01,5605.98,5521.10,5592.53,156138700,5592.53
2007-08-29,5441.52,5520.02,5425.90,5520.02,126622600,5520.02
2007-08-28,5579.82,5579.82,5462.27,5474.17,116674700,5474.17
2007-08-27,5598.73,5617.79,5584.84,5590.54,61551800,5590.54
2007-08-24,5491.20,5578.88,5491.20,5569.38,91182400,5569.38
2007-08-23,5575.98,5596.16,5523.33,5523.33,119966600,5523.33
2007-08-22,5451.10,5531.86,5448.52,5518.17,137488700,5518.17
2007-08-21,5413.03,5445.50,5345.08,5418.78,127963800,5418.78
2007-08-20,5428.67,5447.61,5390.06,5399.38,131677500,5399.38
2007-08-17,5256.86,5450.35,5217.70,5363.63,295264900,5363.63
2007-08-16,5338.74,5344.17,5263.15,5265.47,246596900,5265.47
2007-08-15,5407.99,5454.65,5378.41,5442.72,159309100,5442.72
2007-08-14,5513.06,5574.37,5463.39,5478.66,141481400,5478.66
2007-08-13,5512.93,5576.89,5495.22,5569.28,170010700,5569.28
2007-08-10,5518.21,5558.94,5434.93,5448.63,252612500,5448.63
2007-08-09,5742.05,5742.05,5562.94,5624.78,244034500,5624.78
2007-08-08,5671.33,5766.56,5652.52,5749.29,208927200,5749.29
2007-08-07,5610.63,5627.28,5579.19,5620.40,163785600,5620.40
2007-08-06,5532.59,5573.22,5516.65,5532.99,160663200,5532.99
2007-08-03,5704.56,5704.56,5583.83,5597.89,143402200,5597.89
2007-08-02,5704.34,5720.17,5661.09,5682.07,189216300,5682.07
2007-08-01,5622.11,5701.21,5561.87,5654.30,214697300,5654.30
2007-07-31,5701.52,5754.00,5691.21,5751.08,246492500,5751.08
2007-07-30,5649.05,5684.57,5612.36,5646.36,160849300,5646.36
2007-07-27,5626.92,5721.83,5608.28,5643.96,210218300,5643.96
2007-07-26,5864.00,5867.51,5675.05,5675.05,219990400,5675.05
2007-07-25,5885.67,5907.71,5804.17,5837.11,170007800,5837.11
2007-07-24,5991.84,6006.52,5897.94,5907.47,134478400,5907.47
2007-07-23,5936.28,6009.16,5929.75,6009.16,99413800,6009.16
2007-07-20,6050.45,6076.26,5952.22,5957.16,142083800,5957.16
2007-07-19,6047.48,6080.48,6027.19,6065.50,109241700,6065.50
2007-07-18,6040.65,6062.14,5995.97,5995.97,119895700,5995.97
2007-07-17,6106.61,6114.42,6061.78,6099.21,106991700,6099.21
2007-07-16,6131.74,6132.29,6101.55,6125.60,96159400,6125.60
2007-07-13,6156.16,6156.16,6105.21,6117.96,116751000,6117.96
2007-07-12,6026.89,6103.05,5989.44,6103.05,151206200,6103.05
2007-07-11,5969.91,6010.25,5936.90,6001.09,151207700,6001.09
2007-07-10,6104.13,6126.24,6000.90,6019.22,150816000,6019.22
